# apt_installed
# generated_at=2026-02-20T17:34:31-03:00
# shell=dpkg-query -W -f='${Package}\t${Version}\n' | LC_ALL=C sort

7zip	23.01+dfsg-11
libaribb24-0t64	1.0.3-2.1build2
libasan8	14.2.0-4ubuntu2~24.04
libasound2-data	1.2.11-1ubuntu0.2
libasound2-dev	1.2.11-1ubuntu0.2
libasound2-plugins	1.2.7.1-1ubuntu5
libasound2t64	1.2.11-1ubuntu0.2
libaspell15	0.60.8.1-1build1
libass9	1:0.17.1-2build1
libassuan0	2.5.6-1build1
libasyncns0	0.8-6build4
libatasmart4	0.19-5build3
libatk-adaptor	2.52.0-1build1
libatk-bridge2.0-0t64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni	0.40.0-3build2
libatk1.0-0t64	2.52.0-1build1
libatkmm-1.6-1v5	2.28.4-1build4
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04
libatopology2t64	1.2.11-1ubuntu0.2
libatspi2.0-0t64	2.52.0-1build1
libattr1	1:2.5.2-1build1.1
libaudcore5t64	4.3.1-2.1build2
libaudgui5t64	4.3.1-2.1build2
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libaudqt2t64	4.3.1-2.1build2
libaudtag3t64	4.3.1-2.1build2
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-13ubuntu6.1
libavahi-common-data	0.8-13ubuntu6.1
libavahi-common3	0.8-13ubuntu6.1
libavahi-core7	0.8-13ubuntu6.1
libavahi-glib1	0.8-13ubuntu6.1
libavc1394-0	0.5.4-5build3
libavcodec60	7:6.1.1-3ubuntu5
libavdevice60	7:6.1.1-3ubuntu5
libavfilter9	7:6.1.1-3ubuntu5
libavformat60	7:6.1.1-3ubuntu5
libavutil58	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0	0.10.1-1build2
libayatana-indicator3-7	0.9.4-1build1
libb2-1	0.98.1-1.1build1
libbabeltrace1	1.5.11-3build3
libbasicobjects0t64	0.6.2-2.1build1
libbdplus0	0.2.0-3build1
libbinutils	2.42-4ubuntu2.8
libblas3	3.12.0-3build1.1
libblkid1	2.39.3-9ubuntu6.4
libblockdev-crypto3	3.1.1-1ubuntu0.1
libblockdev-fs3	3.1.1-1ubuntu0.1
libblockdev-loop3	3.1.1-1ubuntu0.1
libblockdev-mdraid3	3.1.1-1ubuntu0.1
libblockdev-nvme3	3.1.1-1ubuntu0.1
libblockdev-part3	3.1.1-1ubuntu0.1
libblockdev-swap3	3.1.1-1ubuntu0.1
libblockdev-utils3	3.1.1-1ubuntu0.1
libblockdev3	3.1.1-1ubuntu0.1
libbluetooth3	5.72-0ubuntu5.5
libbluray2	1:1.3.4-1build1
libboost-iostreams1.83.0	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0	1.83.0-2.1ubuntu3.2
libbpf1	1:1.3.0-2build2
libbpfcc	0.29.1+ds-1ubuntu7
libbrlapi0.8	6.6-4ubuntu5
libbrotli1	1.1.0-2build2
libbs2b0	3.1.0+dfsg-7build1
libbsd0	0.12.1-1build1.1
libbsh-java	2.0b4-20
libbytesize-common	2.10-1ubuntu2
libbytesize1	2.10-1ubuntu2
libbz2-1.0	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc-devtools	2.39-0ubuntu8.7
libc6	2.39-0ubuntu8.7
libc6-dbg	2.39-0ubuntu8.7
libc6-dev	2.39-0ubuntu8.7
libcaca0	0.99.beta20-4ubuntu0.1
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2	1.18.0-3build1
libcairo2	1.18.0-3build1
libcairomm-1.0-1v5	1.14.5-1build1
libcairomm-1.16-1	1.18.0-1build1
libcamel-1.2-64t64	3.52.3-0ubuntu1.1
libcanberra-gtk3-0t64	0.30-10ubuntu10
libcanberra-gtk3-module	0.30-10ubuntu10
libcanberra-pulse	0.30-10ubuntu10
libcanberra0t64	0.30-10ubuntu10
libcap-ng0	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.2
libcap2-bin	1:2.66-5ubuntu2.2
libcares2	1.27.0-1.0ubuntu1
libcbor0.10	0.10.2-1.2ubuntu2
libcc1-0	14.2.0-4ubuntu2~24.04
libcddb2	1.3.2-7fakesync1build1
libcdio-cdda2t64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64	10.2+2.0.1-1.1build2
libcdio19t64	2.1.0-4.1ubuntu1.2
libcdparanoia0	3.10.2+debian-14build3
libcdr-0.1-1	0.1.7-1build2
libcheese-gtk25	44.1-1build4
libcheese8	44.1-1build4
libchewing3	0.6.0-1build1
libchewing3-data	0.6.0-1build1
libchromaprint1	1.5.1-5
libcjson1	1.7.17-1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclone-perl	0.46-1build3
libclucene-contribs1t64	2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64	2.3.3.4+dfsg-1.2ubuntu2
libclutter-1.0-0	1.26.4+git2779b932+dfsg-7build3
libclutter-1.0-common	1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0	3.0.27-4build1
libclutter-gtk-1.0-0	1.8.4-4build5
libcodec2-1.2	1.2.0-2build1
libcogl-common	1.22.8-4ubuntu4
libcogl-pango20	1.22.8-4ubuntu4
libcogl-path20	1.22.8-4ubuntu4
libcogl20	1.22.8-4ubuntu4
libcolamd3	1:7.6.1+dfsg-1build1
libcollection4t64	0.6.2-2.1build1
libcolord-gtk4-1t64	0.3.1-1build2
libcolord2	1.4.7-1build2
libcolorhug2	1.4.7-1build2
libcom-err2	1.47.0-2.4~exp1ubuntu4.1
libcrack2	2.9.6-5.1build2
libcrypt-dev	1:4.4.36-4build1
libcrypt1	1:4.4.36-4build1
libcryptsetup12	2:2.7.0-1ubuntu4.2
libctf-nobfd0	2.42-4ubuntu2.8
libctf0	2.42-4ubuntu2.8
libcue2	2.2.1-4.1build1
libcups2t64	2.4.7-1.2ubuntu7.9
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64	2.0.0-0ubuntu7.2
libcupsimage2t64	2.4.7-1.2ubuntu7.9
libcurl3t64-gnutls	8.5.0-2ubuntu10.6
libcurl4t64	8.5.0-2ubuntu10.6
libdaemon0	0.14-7.1ubuntu4
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-3build1
libdav1d7	1.4.1-1build1
libdb5.3t64	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-glib-1-2	0.112-3build2
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdc1394-25	2.2.6-4build1
libdca0	0.0.7-2build1
libdconf1	0.40.0-4ubuntu0.1
libde265-0	1.0.15-1build3
libdebconfclient0	0.271ubuntu3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64	0.190-1.1ubuntu0.1
libdecor-0-0	0.2.2-1build2
libdecor-0-plugin-1-gtk	0.2.2-1build2
libdee-1.0-4	1.2.7+17.10.20170616-7build5
libdeflate0	1.19-1build1.1
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdhash1t64	0.6.2-2.1build1
libdjvulibre-text	3.5.28-2ubuntu0.24.04.1
libdjvulibre21	3.5.28-2ubuntu0.24.04.1
